Вакансия,Дата,Зарплата,Компания,Требуемый опыт работы,Тип занятости,Проживание,Гражданство,Обязанности:,Требования:,Образование:,Условия:,График работы:
Овощевод,03 июля 2020,20000,"""СТ"" ООО",Молодой специалист (1-3 года),Полная,Нет,РФ,"подготовка почвы к посеву и посадке, посев полевых культур и посадка огородных культур, выращивание и уход за посевами и посадками",NULL,Среднее профессиональное,NULL,Полный рабочий день
Овощевод,13 апреля 2023,20000,"""СТАРТ""ООО.",Молодой специалист (1-3 года),Полная,Нет,РФ,"подготовка почвы к посеву и посадке, посев полевых культур и посадка огородных культур, выращивание и уход за посевами и посадками",NULL,Среднее профессиональное,NULL,Полный рабочий день
Плодоовощевод,03 июля 2020,20000,"""СТАРТ""ООО.",Молодой специалист (1-3 года),Полная,Нет,РФ,"подготовка почвы к посадке, приготовление и внесение удобрений в почву, подготовка посадочного материала",NULL,Среднее профессиональное,NULL,Полный рабочий день
Овощевод,03 июля 2020,20000,"""МАЯК-СЕРВИС""ООО.",Молодой специалист (1-3 года),Полная,Нет,РФ,"подготовка почвы к посеву и посадке, посев полевых культур и посадка огородных культур, выращивание и уход за посевами и посадками",NULL,Среднее профессиональное,NULL,Полный рабочий день
Плодоовощевод,03 июля 2020,20000,"""МАЯК-СЕРВИС""ООО.",Молодой специалист (1-3 года),Полная,Нет,РФ,"подготовка почвы к посадке, приготовление и внесение удобрений в почву, подготовка посадочного материала",NULL,Среднее профессиональное,NULL,Полный рабочий день
Плодоовощевод,13 апреля 2023,20000,"""СПЕКТРВЕСТ"" ООО",Молодой специалист (1-3 года),Полная,Нет,РФ,"ДОЛЖНОСТНЫЕ ОБЯЗАННОСТИ, ПРЕДУСМОТРЕННЫЕ КВАЛИФИКАЦИОННЫМИ ХАРАКТЕРИСТИКАМИ ПО ЗАНИМАЕМОЙ ДОЛЖНОСТИ",NULL,Среднее профессиональное,NULL,Полный рабочий день
Овощевод,13 апреля 2023,20000,"""СПЕКТРВЕСТ"" ООО",Молодой специалист (1-3 года),Полная,Нет,РФ,"ДОЛЖНОСТНЫЕ ОБЯЗАННОСТИ, ПРЕДУСМОТРЕННЫЕ КВАЛИФИКАЦИОННЫМИ ХАРАКТЕРИСТИКАМИ ПО ЗАНИМАЕМОЙ ДОЛЖНОСТИ",NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-машинист,13 апреля 2023,25000,"ООО ""КОШЕЛЕВСКИЙ ПОСАД""",Молодой специалист (1-3 года),Полная,Нет,РФ,"Боронование, культивация, посев сельскохозяйственных культур, ремонт закрепленной техники (по мере необходимости)",NULL,Среднее профессиональное,NULL,Полный рабочий день
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Тракторист-машинист,13 апреля 2023,45000,"АО ""ПЗ ""МЕЛИОРАТОР""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Полный рабочий день
